	0
also	90
altar	4
alter	2
altered	3
altering	4
alternate	1
alternately	3
alternating	4
although	2
altitude	2
altitude--how	1
altitudes	2
altogether	29
always	80
am	86
am--but	1
amain	1
amaze	1
amazement	6
amazing	6
amazingly	2
amber	5
ambergriese	1
ambergris	13
ambiguous	3
ambition	3
ambitious	3
amelia	1
amelia's	1
amen	1
amend	1
america	12
american	34
americans	6
americas	1
amid	16
amidst	1
amittai	1
among	167
amongst	1
amorous	1
amount	6
amounted	1
amounts	1
amours	2
amphibious	1
amphitheatrical	1
ample	3
amplified	2
amplify	1
amputate	1
amputated	1
amputating	1
amputation	1
amputations--but	1
amsterdam	3
amuck	1
amusing	1
an	592
anacharsis	1
anaconda	2
anacondas	1
anak	1
analogical	1
analogies	1
analogous	2
analogy	2
analyse	1
analysed	1
analysis	1
analytic	1
anathemas	1
anatomical	5
anatomist	1
anatomy	3
anatomy--there	1
ancestors	1
ancestress	1
ancestry	2
anchor	19
anchor-watch	1
anchor-watches	1
anchored	4
anchors	7
ancient	28
ancientest	1
and	6379
and--aye	1
andes	7
andirons	1
andrew	1
andromeda	3
andromeda--indeed	1
anew	5
angel	6
angel's	1
angelo	1
angels	9
anger	2
anger-glow	1
angle	7
angles	2
anglo-saxon	1
angrily	1
angry	1
anguish	8
angular	3
angularly	1
animal	16
animals	5
animate	1
animated	7
animating	1
animation	1
animosity	1
ankers	2
ankles	2
annals	3
annawon	1
anne's	2
annihilated	3
annihilating	1
annihilation	3
anno	1
announced	5
announcement	4
announces	1
announcing	6
annual	3
annually	1
annuitants	1
annus	1
anoint	2
anointed	2
anointing	2
anoints	1
anomalous	2
anomalously	2
anomaly	2
anon	9
anonymous	2
another	111
another's	2
answer	24
answer--"well	1
answered	21
answered--"aye	1
answers	3
ant	1
ant-hill	1
ant-hills	1
antagonistic	1
antarctic	5
antecedent	1
antediluvian	3
antelope	1
antemosaic	1
anti-scorbutic	1
antichronical	2
anticipated	2
anticipatingly	2
anticipation	2
anticipative	1
antics	1
antidote	1
antilles	3
antiochus's	1
antique	5
antiquities	2
antiquity	5
antlered	1
antlers	1
antony	1
ants	1
antwerp	1
anus	1
anvil	6
anvil--the	1
anvil-headed	1
anxieties	1
anxiety	3
anxious	9
any	326
any--i	1
anybody	10
anyhow	1
anyone	1
anything	43
anyway	1
anyways	2
anywhere	14
aorta	1
apart	15
apartment	6
ape	1
apeak	1
apertures	1
apex	2
apollo	1
apology	1
apoplectic	1
apoplexy	2
apoplexy!"--and	1
apostolic	2
apothecary	2
apothecary's	1
apotheosis	1
appal	3
appalled	3
appalling	10
appallingly	1
appals	2
apparatus	1
apparel	1
apparelled	2
apparent	4
apparently	9
apparition	9
appeal	1
appeals	2
appear	6
appearance	10
appearances	4
appeared	10
appearing	2
appears	7
appellation	3
appellations	1
appellative	2
append	1
appendage	1
appetite	3
appetites	3
apple	3
apple-dumpling	1
appliance	1
applicable	3
application	6
applied	8
applies	3
apply	2
applying	1
appoint	1
appointed	3
appointments	1
apportioned	1
appreciative	1
apprehension	5
apprehensions	2
apprehensiveness	4
apprise	1
apprised	4
approach	5
approached	2
approaches	1
approaching	10
appropriate	1
appropriated	1
approval	1
approve	1
approved	1
approving	1
approvingly	1
approximate	1
apricot	1
april	3
apron	1
apt	8
aptitude	1
aptitudes	1
aquarius	2
arbitrary	1
arbors	1
arc	2
arch	6
archaeological	1
archaeologists	1
archangel	7
archangel's	1
archangelic	2
archangelical	1
archangels	1
archbishop	1
archbishopric	1
arched	9
archer	2
arches	2
archiepiscopacy	1
arching	1
archipelagoes	6
architect	2
architects	2
architecture	1
archy	4
archy's	1
arctic	7
ardor	2
are	595
are--through	1
area	4
arethusa	1
argo-navis	1
argosy	2
argue	3
argued	4
arguing	1
argument	7
arguments	2
arid	2
aries	3
aright	5
arion	1
arise	2
arisen	2
arises	1
arising	4
aristotle	2
arithmetic	2
ark	8
arkansas	1
arkite	1
arm	80
arm'd	1
arm's	1
arm--"god	1
arm--"is	1
arm--came	1
arm-holes	1
armada	1
armed	10
armies	4
armor	1
arms	34
army	2
arnold	1
aroma	1
aromas	1
aromatic	3
aroostook	1
arose	3
around	42
arpens	1
arrah	1
arrange	1
arranged	1
arrangement	2
arrangements	1
arranging	1
arrant	1
arrantest	1
array	3
arrayed	2
arrested	3
arrival	5
arrive	5
arrived	14
arrives	1
arriving	2
arrogance	1
arrow	2
arrow-like	1
arrow-slit	1
arrows	2
arrowy	1
arsacidean	4
arsacides	3
art	41
artedi	1
arterial	1
artful	1
article	5
articles	11
articulated	2
artificial	5
artificially	1
artificialness	1
artisan	1
artist	3
artist's	1
artistic	2
artists	1
arts	3
as	1728
asa	1
ascend	1
ascended	5
ascendency	3
ascending	7
ascertained	1
ascertaining	1
ascribable	1
ascribe	4
ascribed	5
ascriptions	1
ash	1
ash-box	1
ash-holes	1
ashantee	1
ashes	11
ashes--mind	1
ashore	34
asia	5
asiatic	3
asiatics	2
aside	28
aside--broke	1
ask	10
askance	1
asked	14
aslant	2
asleep	6
aslope	1
aspect	35
aspects	5
aspersion	1
asphaltic	1
asphaltites	1
aspirations	1
aspiring	1
ass	2
assail	1
assailable	1
assailant	2
assailants	2
assailed	1
assailing	1
assails	1
assassins	1
assault	4
assaulted	1
assaults	5
assembled	3
assembly	1
assented	2
assert	4
asserted	3
assertion	2
asses	1
assigned	3
assignment	1
assigns	1
assist	4
assistance	1
assistants	1
assisted	2
assisting	1
associated	1
associates	1
associations	5
assuaging	1
assume	4
assumed	4
assumes	1
assuming	5
assumption	1
assurance	1
assure	5
assured	6
assuredly	1
assures	2
assuring	1
assyrian	1
astern	28
astern--st	1
astir	3
astonished	4
astonishing	2
astonishment	6
