	0
a	775
a.swie	1
a.wider	1
ab	23
abe	18
abeloufe	1
abeme	1
abent	1
aber	71
abide	1
about	8
abtei	1
accept	1
accepted	2
accepting	1
access	10
accessed	1
accessible	1
accordance	2
ach	2
active	2
actual	1
addition	1
additional	4
additions	1
address	1
addresses	1
adresse	1
after	1
against	1
agent	1
agree	9
agreed	1
agreement	18
ahsel	4
aht	1
ahte	2
ahten	2
ahtet	1
ahtzec	1
ahtzehenden	1
ahzec	6
ak	1
al	83
alberîch	2
albrîch	7
albrîche	4
albrîchen	2
albrîches	1
ald	1
aldrîân	1
aldrîânes	3
aleine	9
alher	1
all	18
alle	174
allem	3
allen	78
allenthalben	33
aller	63
allerbeste	1
allergrœßisten	1
alles	12
allow	1
almost	2
alone	1
already	1
alrêrst	1
alrêrste	1
alrêst	3
alrêste	2
alrôtem	1
als	267
alsam	27
alse	7
also	3
alsolhen	1
alsolher	1
alsus	3
alte	13
alten	5
alter	3
alteration	1
alternate	1
alters	1
alterseine	1
altgrîsen	1
alumbe	1
alwâr	4
alze	2
alzeije	1
alêrste	1
am	1
ame	1
amelrîch	2
amelrîchen	1
amelunge	8
amme	1
amptliute	1
an	567
and	71
anden	1
ander	76
anderen	8
anderes	1
anderhalp	1
anderiu	3
andern	15
anders	21
anderstunt	1
andersw	4
anderthalben	2
anderthalp	2
andriu	1
ane	9
aneviengen	1
anfang	1
anführungszeichen	1
angaben	1
anger	1
angeslîcher	1
angest	11
angestlîche	4
angestlîchen	4
angestlîcher	1
angstete	1
anme	2
anmerkungen	2
anonymous	3
anstrich	1
antlütze	1
antphanc	2
antphange	4
antwerke	1
antworten	1
antwurt	2
antwurte	32
antwurten	1
any	37
anyone	5
anything	2
anywhere	2
anzünden	1
appear	1
appearing	1
appears	1
applicable	3
apply	1
approach	1
arabîn	1
arbeit	8
arbeite	7
arbeiten	7
archive	13
are	22
arebeit	3
arge	3
argen	6
arger	1
arise	1
arm	2
armbouge	1
arme	15
armen	25
armer	4
armiu	1
arn	1
arnen	1
arnent	1
arra	1
array	1
art	1
arte	2
arâbischem	1
arâbischen	2
arâbîn	1
as	10
as-is	1
aschen	1
ascii	2
assistance	1
associated	8
ast	1
astolt	1
at	16
attached	1
auf	4
aufeinanderfolgende	1
auflage	1
author	1
available	2
aver	1
away	2
away--you	1
azagouc	1
b	315
ba	83
bach	3
badet	1
badete	2
badeten	1
balde	69
balder	1
balmunc	2
balmunge	1
balmungen	3
balt	14
banc	6
band	1
bant	9
barn	1
bart	1
barte	1
based	2
basen	1
bat	58
be	19
because	1
bechelâren	14
bechlâren	16
beda	1
bedarf	1
bedarftu	1
bedenke	2
bedenken	1
bedenket	1
bediuten	1
bedorfte	3
bedorften	2
bedurfen	2
bedâht	1
bedürfen	1
before	3
beg	1
began	90
begangen	1
begegene	2
begert	1
begie	4
begiengen	1
beginne	3
beginnen	3
beginnet	1
beginning	1
begonde	3
begraben	11
begruob	1
begrüebe	1
begund	2
begunde	58
begunden	11
begunder	3
begân	11
begât	1
begürtet	1
behabe	1
behaft	1
behagen	4
behagete	1
behalden	1
behalten	16
behaltest	1
behanden	1
behern	1
behielt	2
behielte	1
behielten	1
behuot	5
behuote	1
behüete	2
behüeten	12
behüetest	1
behüetet	3
beibehalten	1
beide	57
beiden	29
beidenthalben	4
beidenthalp	3
beider	17
beidiu	15
beier	9
bein	2
beire	1
bejagen	2
bekande	3
bekant	82
bekenne	1
bekennen	2
bekennet	2
beklaget	2
bekomen	4
bekêret	1
bel	15
bele	27
beleib	1
beleip	6
beleiten	3
belen	1
beliben	4
bellîche	1
below	3
belîbe	1
belîben	56
belîbet	7
belûhte	1
benam	4
bende	4
bendes	1
benomen	17
bent	2
benutzung	1
benâmen	1
ber	119
beral	1
berc	4
bere	8
bereinstimmend	1
bereit	44
bereite	11
bereiten	14
bereitet	8
beren	3
berge	13
bergen	2
beriet	1
berihtet	1
berkraft	1
berlût	1
bermuot	7
bermüete	17
bermüeten	11
bermüeter	1
bern	4
berne	27
berner	1
bernommen	1
bernære	5
berreden	1
bers	1
berschrift	2
bersetzung	1
bersichtlichkeit	1
berunnen	2
beruochen	2
berwinde	1
berwinden	2
berâten	1
besa	2
besande	2
besant	7
besarket	1
bescheiden	7
bescheidenlîchen	2
beschermen	1
beschieden	1
beschiet	2
bescholden	2
beschouwen	1
beschutte	1
besehen	4
besenden	3
besendet	3
beserken	1
besl	5
besloßßen	3
besorgete	1
bespart	1
best	1
bestanden	2
beste	19
besten	42
bester	1
bestiften	1
bestuont	2
bestân	59
bestât	3
bestên	3
bestêt	1
bestüende	3
besunder	2
beswârt	2
beswârte	1
beswæret	4
besæße	1
bete	1
betriegen	1
betrogen	5
betrüebet	6
bette	14
betten	6
bettewât	1
betwanc	2
betwingen	3
betwungen	3
bevalch	3
bevalher	1
bevant	7
beviengen	1
bevilde	1
bevilhe	2
bevinden	1
bevolhen	7
bevollen	1
bewac	2
bewachen	1
bewant	3
bewar	1
bewarn	24
bewart	8
bewegen	4
beweinde	1
beweinden	1
beweinen	8
beweinet	2
bewîsen	2
bewîset	1
bezeichnen	2
bezeiget	1
beziehen	2
bezimbert	1
bezoc	1
bezîte	2
beßßer	18
beßßerm	1
beßßern	2
beßßerr	1
beßßers	3
bi	2
biderbe	5
biderben	2
biete	1
bieten	5
bietet	1
bilde	2
bilden	1
billîch	1
billîche	3
billîchen	7
bin	45
binary	1
binden	2
bindet	1
birt	2
bis	1
bischof	12
bist	4
bistu	2
bit	4
bite	1
biten	10
bitent	2
bitet	6
bitten	1
bitterlîch	1
bitterlîche	2
bitterlîchen	3
bittet	1
biulen	1
biut	1
biutest	1
bizîte	1
bl	5
blanc	1
blanke	1
blat	1
bleich	4
blicke	3
blicken	5
blicte	5
blikte	1
blint	1
bluomen	4
bluot	36
bluote	18
bluotegen	2
bluoteger	1
bluotegiu	1
bluotent	1
bluotes	5
bluotvarwen	1
blâsende	1
blîde	2
blôße	1
blôßer	1
blœdel	11
blœdelîn	6
blœdelîne	1
blœdelînen	1
blœdelînes	3
bogen	6
borte	5
borten	8
bot	1
bote	25
boten	85
botenbrôt	3
boteschefte	1
both	2
botlunges	2
botschaft	8
botschefte	1
bou	1
bouc	2
bouge	7
boume	1
bound	2
bouwen	1
brach	6
bracke	3
bracken	3
brande	1
brant	1
brast	5
breach	2
brechen	2
brehen	1
breit	28
breite	1
breiten	1
brende	1
brenden	1
bresten	2
brichet	1
brieve	1
brinc	1
bring	1
bringe	11
bringen	21
bringent	3
bringet	9
bringiu	1
briute	2
bruder	1
brunne	3
brunnen	12
bruoder	91
brusten	1
brâchent	1
brâht	13
brâhte	33
brâhten	15
brâhtes	3
brâhtet	1
bræhte	5
brôt	6
brût	2
brûtmiete	1
brüeven	4
brüneje	1
brünne	12
brüsten	3
buchausgabe	1
buches	1
buchhandlung	1
buchstaben	1
buckel	1
buckeln	2
buhurdieren	1
buhurt	14
bunden	2
bunt	1
buoße	1
burc	14
burge	1
burgunde	10
burgunden	127
burgære	2
burgæren	1
business	1
but	5
buten	5
by	22
bzw	1
bâgen	1
bâre	3
bâren	1
bâten	6
bâtens	2
bêde	2
bêden	1
bêdiu	1
bîten	4
bîtent	1
bîtet	5
bôt	30
bôßen	1
bôßet	1
büeße	1
büeßen	2
bürge	34
bürgen	5
bürgetor	1
büten	1
bütet	1
bœse	5
bœsen	2
bœsiu	1
bœslîche	1
bœslîchen	1
c	105
calculate	1
calculated	1
can	10
cannot	4
card	1
carry	1
cause	2
cease	1
certain	2
change	1
charge	6
charges	1
charitable	1
charities	1
check	3
checks	1
chief	1
choose	1
city	1
claim	1
clearly	1
cleit	2
clâr	1
codes	1
collection	4
come	1
commercial	1
committed	1
compilation	1
compliance	5
comply	6
complying	3
compressed	1
computer	2
computers	2
concept	2
concerning	2
confirmation	1
confirmed	1
consequential	1
considerable	2
constant	1
contact	4
contain	2
containing	1
contract	1
contributions	2
convert	1
copied	2
copies	7
copy	12
copying	4
copyright	13
corporation	1
corrupt	1
cost	3
