	0
glac	2
glad	7
gladly	1
glance	1
glass	2
glee	1
gloss	1
glossy	1
go	2
going	1
golden	4
gone	1
good	4
good-sized	3
goodbye	1
goodies	4
government	3
gradually	12
grain	5
grains	1
granddaughter	1
grandmother	5
granulated	82
grape-fruit	1
grapefruit	1
grapes	1
grated	5
grateful	1
grease	1
greased	7
greasing	1
great	2
greatest	1
green	4
grew	1
grinder	1
ground	1
grown	3
grown-up	1
guest	1
guests	1
h	1
had	91
hailed	1
hair	1
half	21
half-cup	2
half-inch	1
half-pint	2
halves	11
hampers	1
hand	1
handle	18
handled	1
hands	4
happened	5
happiest	1
happy	3
hard	36
harden	2
hardened	2
hardens	1
hardly	1
harmful	1
harmless	4
harriet	2
has	2
hasty	1
hat	1
hatchet	1
hatchets	1
have	23
having	2
hazel	1
he	8
head	1
heaping	2
hear	1
heard	1
hearing	1
heart-shaped	2
heat	2
heavy	39
help	5
helpful	3
helping	1
helps	1
her	106
here	5
herself	8
high	1
highly	1
him	3
hints	1
his	7
hold	1
holiday	1
holidays	1
home	11
honey	3
hope	1
horizontal	1
horizontally,--they	1
hot	24
hour	1
hours	6
house	2
housekeeping	1
how	28
however	2
hundred	1
hung	2
hurried	1
husking	2
i	25
i'll	1
ice	1
idea	2
ideal	1
ideas	1
if	22
ii	2
iii	2
illustration	2
immediately	1
imperfect	2
importance	1
important	2
impossible	2
impressed	2
impression	1
impure	1
in	466
inch	9
inches	5
incident	1
included	2
incorporating	1
increased	2
indeed	1
index	2
indigestible	1
ingredients	7
inserted	1
inside	7
insist	1
insisted	1
instructed	2
instruction	2
instructions	1
insure	1
intended	1
interested	2
into	162
invariably	1
invitation	2
invite	1
invited	3
iron	1
is	18
isabella	1
isn't	2
it	364
its	4
itself	3
iv	2
ix	2
job	1
join	1
juice	14
just	39
keenly	1
keep	5
kept	6
kernel	2
kernels	9
kind	12
kinds	5
kisses	2
kitchen	5
kits	1
knead	1
kneaded	6
knew	5
knife	17
know	5
knowing	1
l	2
land	1
large	32
larger	1
last	1
latter	1
laughed	1
lay	1
layer	1
layers	2
lb	8
learn	7
learned	9
least	2
leave	2
leaves	1
leaving	1
left	3
lemon	26
length	1
lengthwise	1
less	2
lessen	1
lesson	1
lessons	2
let	52
letter	1
letting	3
level	1
life	1
lifting	1
light	3
lightly	5
like	46
like--like--well	1
liked	11
liking	1
lines	1
liquid	2
listened	1
little	172
loaf	1
locality	1
long	19
longer	2
look	4
looked	6
looking	1
looks	2
lost	1
loud	1
louise	1
loved	1
lump	1
made	66
magazines	1
make	38
maker	1
makers	1
makes	2
making	26
man	1
managed	1
manner	3
manual	1
many	12
maple	29
marble	2
march	1
margaret's	1
mark	8
marked	50
marking	1
marshmallow	25
marshmallows	6
marvelled	1
mass	1
mastered	1
materials	3
matter	1
may	15
mdccccxviii	1
mean	1
means	1
meant	1
meant),--then	1
meantime	3
measure	3
measured	5
measuring	8
meat	7
meats	39
melt	9
melted	19
melting	3
member	1
memorized	1
men	1
merrily	1
might	11
milk	88
mind	2
mints	19
minute	19
minutes	8
mix	1
mixed	12
mixture	11
mo	4
moderate	2
moderation	1
moisture	3
molasses	60
mold	5
molded	5
moments	1
money	1
months	1
more	19
morning	2
mornings	2
most	10
mother	95
mother's	11
mothers	1
mouth	1
much	25
much--just	1
multiplied	1
munching	1
muslin	4
must	3
my	4
name	4
named	1
names	2
narrow	1
naturally	1
neapolitan	3
nearly	7
necessary	3
need	2
needed	6
needle	1
needs	1
needy	1
neighbors	4
net	3
never	9
new	4
next	17
nice	6
nicely	3
nicer	2
nickname	1
night	1
no	9
nor	1
northern	1
not	72
not-a-seed	1
noted	1
notes	1
noticed	2
nougat	5
nougatines	2
nourishing	1
now	12
number	7
nut	13
nut-cracker	1
nuts	47
o'brien	2
object	1
observing	1
obtained	1
occasion	2
occasionally	1
occasions	1
occurred	1
odor	1
of	400
off	20
often	4
oh	5
oil	16
oiled	3
