	0
archer	2
arches	2
arches,—not	1
architect	3
architects	1
architecture	3
architrave	1
archway	1
arch—her	1
ardent	3
arduum	1
are	312
argolis	1
argonauts	1
argument	1
arguments	1
arianism	1
ariel's	1
arimathea	2
arimathean	1
ariminum	1
arion	2
arise	1
arises	1
arising	1
aristotle	1
ark	1
arm	6
arme	1
armed	3
armenian	5
armies	3
arming	1
armorial	2
armour	2
arms	22
army	2
armèd	1
arnold	1
arose	2
around	30
arouse	1
arraign	1
arraigned	1
arran	3
arrangement	1
arrangements	1
array	7
arrayed	4
arrival	2
arrived	1
arrogance	1
arrogates	1
arrows	2
art	50
artful	3
arthur	5
arthur's	3
article	1
artificer	1
artificial.—ed	1
artillery	1
artist	2
arts	14
arts,—but	1
as	657
ascend	4
ascendant	1
ascended	1
ascendency	2
ascending	2
ascends	3
ascension	2
ascent	2
ascribe	1
ascribed	2
ashamed	3
ashby-de-la-zouch	1
ashes	9
ashore	2
aside	10
ask	13
asked	4
askew	1
asks	4
aspect	10
aspects	7
aspectu."—w	1
aspen	1
aspicit	1
aspirant	1
aspiration	2
aspirations	4
aspire	8
aspired	1
aspires	3
assault	3
assemblage	1
assembled	4
assembly	1
assert	1
assign	1
assigned	7
assistance	1
assisted	1
assizes	1
associate	1
associated	1
associates	1
association	2
associations	2
assoil	1
assuage	1
assume	3
assumed	1
assumes	2
assumption	4
assurance	4
assured	2
assuredly	1
astonish	1
astonishment	2
astounded	1
astounds	1
astray	3
astronomer	1
astronomy.—ed	1
astrop	1
asunder	1
asylum."—ed	1
at	441
atabals	1
ataraxia]?ta?a??a	1
athens	2
athens—and	1
athwart	1
atlantic	4
atmosphere	1
atmospheric	1
atone	2
atones	1
atropos	1
attached	2
attached.—i.f	1
attaches	1
attachment	1
attachments	1
attacked	2
attacks	1
attain	1
attain'd	1
attained	2
attempted	1
attempting	3
attempts	1
attend	4
attendance	2
attendant	1
attendants	1
attended	2
attends	1
attention	1
attentions	1
attest	5
attestation	1
attire	1
attired	2
attract	1
attracted	4
attraction	1
attractive	2
attributed	3
attune	1
attuned	1
aubrey	3
audacious	1
audacity	1
audible	2
audience	1
auditum	1
aug	3
aught	28
aught?—the	1
augments	1
auguries	2
augurs	1
august	5
augustin	3
auld	1
auspicious	1
austere	1
australian	1
aut	1
authentic	4
author	15
author's	12
authoress	1
authority	3
authors	1
autobiographical	2
autobiography	1
autocracy	2
autumn	7
autumn's	1
autumnal	2
auxiliars	1
avail	2
avail'd	1
availed	1
avails	2
avalanches,—one	1
avarice	2
ave	3
avenge	2
avenging	1
average	1
avert	1
avesbury	1
avoid	1
avoids	1
avon	9
avon—a	1
avowedly	1
await	4
awaited	1
awaits	1
awake	5
awanting	1
aware	7
away	49
away.—w	1
awe	14
awe-stricken	2
awe-struck	1
awed	2
awes	1
awful	11
awfully	1
awhile.—ed	1
axe	2
aye	5
ayr	3
ayrshire	1
azure	2
aërial	4
aëry	1
b	7
babbling	1
babe	7
babe's	1
babel	1
babes	1
baby-brother	1
baby-faces	1
babylon	1
bacchus	2
back	35
back-bone	1
backed	1
backward	1
backward-looking	1
bacon's	1
bad	5
bade	1
baffle	2
baffled	1
baffling	1
bailey	2
baillie	1
bakewell	1
bala-sala	4
balance	4
balanced	2
balancing	2
bald	1
baldwin	1
baleful	1
baliol	1
balked	1
ballad	3
ballads	1
ballasalla	1
balliol	1
balm	1
balmy	1
baltic	1
ban	2
band	8
banded	1
bands	5
bane	2
bangor	4
bangor's	1
banish	3
banished	2
banishment	2
bank	3
banks	18
banner	2
banners	2
bannockburn	2
banquet	1
banquets	1
baptism	3
baptism.—w	1
baptismal	2
baptized	1
bar	9
barbarians	4
barbaric	2
barbarism	1
barbarossa	2
barbarous	3
bard	14
bard.—ed	1
bards	10
bard—repeated	1
bare	20
barefoot	1
barge	3
bark	9
barkings	1
barley-bread	1
barn	1
barnet	1
baron	1
baronetcy	1
baronial	2
barons	1
barred	1
barren	2
barren's	1
barriers	1
barronists	1
barrow	2
bars	2
bart	2
barter	1
bartered	1
bartholomew	1
baruth	2
bas-reliefs	1
basaltic	1
base	6
bashful	1
bask	1
basket	1
baskets	1
basle	1
bass	1
bastile	2
bastions	1
bat	1
bathed	3
bather's	1
baths	1
battering	2
battle	6
battle-axe	1
battle-day	1
battlement	1
battlemented	1
battles	3
bauble	1
bay	12
bays	1
be	372
be!—ed	1
be,—the	1
be-drowsed	1
beach	2
beacon	1
bead-roll	1
beads	5
beak	1
beam	2
beamless	1
beams	11
beamy	1
bear	36
beard	1
bearer	1
bearing	8
bearings	1
bears	10
beast	4
beat	5
beaten	1
beati	1
beating	3
beats	4
beatus	1
beaumont	39
beaumont.—ed	1
beaumont.—i.f	1
beaumonts	1
beauteous	1
beauties	2
beautifies	1
beautiful	35
beautiful!—yet	1
beautiful.—w	1
beauty	57
beauty's	1
beaver	1
became	14
because	12
beck	1
beck.—ed	1
becket's	3
becket.—ed	1
become	13
becomes	3
becoming	2
becomingly	1
bed	27
bed's	1
bede	10
bede's	2
bede.—the	1
bede.—w	1
bedeck	1
bedewed	1
bedford	1
bedim	2
bedrop	1
beds	2
beduped	1
bee	5
beech	1
beechen	1
been	118
been,—o	1
bees	32
beetle	1
befal	2
befit	1
before	80
befriend	1
befriends	2
beg	1
bega	2
began	3
beggar	1
begin	7
beginning	13
beginning.—w	1
beginning—"a	1
begins	3
beguile	4
beguiled	8
beguiles	1
begun	4
behalf	2
behaviour	1
beheaded	3
beheld	8
behest	2
behests	1
behind	7
behold	21
beholding	1
beholds	1
behoof	1
being	58
being's	2
beings	2
bekangs	1
belated	1
belfries	1
belie	1
belied	1
belief	12
believe	13
believed	3
belike	3
bell	5
bell-bird	1
belle	1
bells	7
belong	4
belonged	3
belonging	5
belongs	5
belov'd—who	1
beloved	9
belovèd	4
below	17
belt	1
bemocked	1
bemocking	1
ben	1
bench	3
bend	7
bended	2
bends	3
beneath	25
benedici	1
benedictine	8
benediction	3
benedictions	1
benefactress.—w	1
benefice	2
beneficent	1
benefices	2
beneficial	1
benefit	3
benefited	1
benefiting	1
benefits	4
benevolence.—w	1
benign	11
benisons	1
benjamin	1
bent	13
benumb	1
bereft	2
berengaria	1
bergen-op-zoom	1
berlin	1
berries	1
berry	1
beseech?—no	1
beseem	2
beset	5
beside	9
besides	2
besought	1
bespangled	1
bespeak	1
bespeaks	2
besprinkled	1
best	25
best-condition'd	1
bestow	3
bestowed	9
bestows	4
bestrides	1
bestrown	2
bethlehem	2
betide	1
betimes	1
betoken	1
betray	7
betrayed	7
betrayer	1
betrothèd	1
better	19
between	39
beverage	3
bewail	1
bewailing	1
bewails	1
beware	3
bewildered	1
beyond	13
bible	2
bid	5
bidden	1
bidding	6
bids	1
bield	1
bier	1
big	3
biggin	1
bigot	1
bigotry	3
bill	4
billow	3
billows	3
bind	7
binding	1
bingen	2
binnen	1
biog	1
biographer	1
biography	3
bird	34
bird's	1
bird-like	1
birds	15
birth	18
birth-day	2
birth-place	1
birth-place.—ed	1
birth-right	1
birthday	1
birthright	2
bishop	21
bishop's	2
bishops	17
bitted	1
bitter	6
bitterness	1
black	22
black-comb	1
black-coom	1
blackening	1
blacker	2
blackest	1
blades	1
blame	6
blameless	2
blanch'd	1
blanched	1
bland	2
blandusia's	1
blank	10
blasphemy	1
blast	14
blasts	1
blaze	3
blazed	1
blazing	3
blazon	1
blazonry	1
bleak	6
bleat	1
bled	2
bleed	1
bleeding	3
bleeds	1
blemished	1
blencathara	1
blend	8
blended	4
blending	4
blends	1
bless	4
blessed	6
blessedness	1
blesses	1
blessing	13
blessings	7
blessÈd	1
blessèd	2
blest	40
blew	4
blight	6
blighted	3
blights	1
blind	19
blind;—yet	1
blinded.—i	1
blindness	2
blink	1
bliss	12
blissful	10
blissfully	1
blithe	8
block	7
blood	12
blood-stained	1
bloodless	1
bloody	1
bloom	8
blooming	1
blooms	1
blooteling	1
blossom	6
blossoms	7
blossoms.—ed	1
blot	2
